id;laundry_machine_id;name;subprogram;time;spin;pre_wash;protect
247;1;Pumpen/Schleudern;null;8;800;null;null
248;1;Pumpen/Schleudern;null;8;700;null;null
249;1;Pumpen/Schleudern;null;8;600;null;null
250;1;Pumpen/Schleudern;null;8;500;null;null
251;1;Pumpen/Schleudern;null;8;400;null;null
252;1;Pumpen/Schleudern;null;1;0;null;null
253;1;Extraspülen;null;18;1400;null;null
254;1;Extraspülen;null;18;1300;null;null
255;1;Extraspülen;null;18;1200;null;null
256;1;Extraspülen;null;18;1100;null;null
257;1;Extraspülen;null;18;1000;null;null
258;1;Extraspülen;null;18;900;null;null
259;1;Extraspülen;null;18;800;null;null
260;1;Extraspülen;null;18;700;null;null
261;1;Extraspülen;null;18;600;null;null
262;1;Extraspülen;null;18;500;null;null
263;1;Extraspülen;null;11;0;null;null
264;1;Mini;40;28;1400;null;null
265;1;Mini;40;28;1300;null;null
266;1;Mini;40;28;1200;null;null
267;1;Mini;40;28;1100;null;null
268;1;Mini;40;28;1000;null;null
269;1;Mini;40;28;900;null;null
270;1;Mini;40;28;800;null;null
271;1;Mini;40;28;700;null;null
272;1;Mini;40;28;600;null;null
273;1;Mini;40;28;500;null;null
274;1;Mini;40;20;0;null;null
275;1;Wolle;30°;39;1200;null;null
276;1;Wolle;30°;39;1100;null;null
277;1;Wolle;30°;39;1000;null;null
278;1;Wolle;30°;39;900;null;null
279;1;Wolle;30°;39;800;null;null
280;1;Wolle;30°;39;700;null;null
281;1;Wolle;30°;39;600;null;null
282;1;Wolle;30°;39;500;null;null
283;1;Wolle;30°;39;400;null;null
284;1;Wolle;30°;32;0;null;null
285;1;Wolle;kalt;39;1200;null;null
286;1;Wolle;kalt;39;1100;null;null
287;1;Wolle;kalt;39;1000;null;null
288;1;Wolle;kalt;39;900;null;null
289;1;Wolle;kalt;39;800;null;null
290;1;Wolle;kalt;39;700;null;null
291;1;Wolle;kalt;39;600;null;null
292;1;Wolle;kalt;39;500;null;null
293;1;Wolle;kalt;39;400;null;null
294;1;Wolle;kalt;32;0;null;null
295;2;Koch-/Buntwäsche;95°;61;1400;false;null
296;2;Koch-/Buntwäsche;95°;61;1300;false;null
297;2;Koch-/Buntwäsche;95°;61;1200;false;null
298;2;Koch-/Buntwäsche;95°;61;1100;false;null
299;2;Koch-/Buntwäsche;95°;61;1000;false;null
300;2;Koch-/Buntwäsche;95°;61;900;false;null
301;2;Koch-/Buntwäsche;95°;61;800;false;null
302;2;Koch-/Buntwäsche;95°;61;700;false;null
303;2;Koch-/Buntwäsche;95°;61;600;false;null
304;2;Koch-/Buntwäsche;95°;61;500;false;null
305;2;Koch-/Buntwäsche;95°;61;400;false;null
306;2;Koch-/Buntwäsche;95°;46;0;false;null
307;2;Koch-/Buntwäsche;95°;71;1400;true;null
308;2;Koch-/Buntwäsche;95°;71;1300;true;null
309;2;Koch-/Buntwäsche;95°;71;1200;true;null
310;2;Koch-/Buntwäsche;95°;71;1100;true;null
311;2;Koch-/Buntwäsche;95°;71;1000;true;null
312;2;Koch-/Buntwäsche;95°;71;900;true;null
313;2;Koch-/Buntwäsche;95°;71;800;true;null
314;2;Koch-/Buntwäsche;95°;71;700;true;null
315;2;Koch-/Buntwäsche;95°;71;600;true;null
316;2;Koch-/Buntwäsche;95°;71;500;true;null
317;2;Koch-/Buntwäsche;95°;71;400;true;null
318;2;Koch-/Buntwäsche;95°;55;0;true;null
319;2;Koch-/Buntwäsche;75°;61;1400;false;null
320;2;Koch-/Buntwäsche;75°;61;1300;false;null
321;2;Koch-/Buntwäsche;75°;61;1200;false;null
322;2;Koch-/Buntwäsche;75°;61;1100;false;null
323;2;Koch-/Buntwäsche;75°;61;1000;false;null
324;2;Koch-/Buntwäsche;75°;61;900;false;null
325;2;Koch-/Buntwäsche;75°;61;800;false;null
326;2;Koch-/Buntwäsche;75°;61;700;false;null
327;2;Koch-/Buntwäsche;75°;61;600;false;null
328;2;Koch-/Buntwäsche;75°;61;500;false;null
329;2;Koch-/Buntwäsche;75°;61;400;false;null
330;2;Koch-/Buntwäsche;75°;46;0;false;null
331;2;Koch-/Buntwäsche;75°;71;1400;true;null
332;2;Koch-/Buntwäsche;75°;71;1300;true;null
333;2;Koch-/Buntwäsche;75°;71;1200;true;null
334;2;Koch-/Buntwäsche;75°;71;1100;true;null
335;2;Koch-/Buntwäsche;75°;71;1000;true;null
336;2;Koch-/Buntwäsche;75°;71;900;true;null
337;2;Koch-/Buntwäsche;75°;71;800;true;null
338;2;Koch-/Buntwäsche;75°;71;700;true;null
339;2;Koch-/Buntwäsche;75°;71;600;true;null
340;2;Koch-/Buntwäsche;75°;71;500;true;null
341;2;Koch-/Buntwäsche;75°;71;400;true;null
342;2;Koch-/Buntwäsche;75°;55;0;true;null
343;2;Koch-/Buntwäsche;60°;47;1400;false;null
344;2;Koch-/Buntwäsche;60°;47;1300;false;null
345;2;Koch-/Buntwäsche;60°;47;1200;false;null
346;2;Koch-/Buntwäsche;60°;47;1100;false;null
347;2;Koch-/Buntwäsche;60°;47;1000;false;null
348;2;Koch-/Buntwäsche;60°;47;900;false;null
349;2;Koch-/Buntwäsche;60°;47;800;false;null
350;2;Koch-/Buntwäsche;60°;47;700;false;null
351;2;Koch-/Buntwäsche;60°;47;600;false;null
352;2;Koch-/Buntwäsche;60°;47;500;false;null
353;2;Koch-/Buntwäsche;60°;47;400;false;null
354;2;Koch-/Buntwäsche;60°;32;0;false;null
355;2;Koch-/Buntwäsche;60°;57;1400;true;null
356;2;Koch-/Buntwäsche;60°;57;1300;true;null
357;2;Koch-/Buntwäsche;60°;57;1200;true;null
358;2;Koch-/Buntwäsche;60°;57;1100;true;null
359;2;Koch-/Buntwäsche;60°;57;1000;true;null
360;2;Koch-/Buntwäsche;60°;57;900;true;null
361;2;Koch-/Buntwäsche;60°;57;800;true;null
362;2;Koch-/Buntwäsche;60°;57;700;true;null
363;2;Koch-/Buntwäsche;60°;57;600;true;null
364;2;Koch-/Buntwäsche;60°;57;500;true;null
365;2;Koch-/Buntwäsche;60°;57;400;true;null
366;2;Koch-/Buntwäsche;60°;41;0;true;null
367;2;Koch-/Buntwäsche;40°;48;1400;false;null
368;2;Koch-/Buntwäsche;40°;48;1300;false;null
369;2;Koch-/Buntwäsche;40°;48;1200;false;null
370;2;Koch-/Buntwäsche;40°;48;1100;false;null
371;2;Koch-/Buntwäsche;40°;48;1000;false;null
372;2;Koch-/Buntwäsche;40°;48;900;false;null
373;2;Koch-/Buntwäsche;40°;48;800;false;null
